# Source: https://www.ensie.nl/medische-eponiemen
# Columns: slug<TAB>title
aambeibehandeling-volgens-lord	aambeibehandeling volgens Lord
achillespees	achillespees
acrel-ganglion	Acrel-ganglion
adam-en-eva-syndroom	Adam- en Eva-syndroom
adams-stokes-aanvallen	Adams-Stokes-aanvallen
adamsappel	adamsappel
adamsdeficientie	adamsdeficiëntie
addisonisme	addisonisme
ademferment-van-warburg	ademferment van Warburg
adjuvans-van-freund	adjuvans van Freund
adson-proef	Adson-proef
aegypti-aedes	aegypti Aedes
afrodisiacum	afrodisiacum
agnew-spalk	Agnew-spalk
akerlund-difformiteit	Akerlund-difformiteit
albee-spaan	Albee-spaan
albini-knobbeltjes	Albini-knobbeltjes
aldrin	aldrin
aleppo-buil	Aleppo-buil
alice-in-wonderland-syndroom	Alice-in-Wonderland-syndroom
alkaligene-bacterie-van-petruschky	alkaligene bacterie van Petruschky
ammonshoorn	ammonshoorn
ampere	ampère
ampulla-vateri	ampulla Vateri
amputatie-volgens-bier	amputatie volgens Bier
amsler-marken	Amsler-marken
andersoni-dermacentor	andersoni, Dermacentor
angina-ludovici	angina Ludovici
angina-van-plaut-vincent	angina van Plaut-Vincent
angstroem	Angström
angulus-ludovici	angulus Ludovici
anitsjkow-cellen	Anitsjkow-cellen
anomalie-van-pelger-huet	anomalie van Pelger-Huët
antidotum-mithridaticum	antidotum Mithridaticum
antoniusvuur	antoniusvuur
antrum-highmori	antrum Highmori
apgar-score	Apgar-score
aqueductus-sylvii	aqueductus Sylvii
arachnodactylie	arachnodactylie
arachnoidea	arachnoidea
arachnoidisme	arachnoïdisme
argentijnse-koorts	Argentijnse koorts
argyll-robertson-pupil	Argyll Robertson-pupil
armstrong-virus	Armstrong-virus
arteriitis-chagasia	arteriitis Chagasia
arthus-fenomeen	Arthus-fenomeen
aschheim-zondek-test	Aschheim-Zondek-test
aschoff-knobbeltjes	Aschoff-knobbeltjes
aselli-pancreas	Aselli, pancreas
astrup-bepaling	Astrup-bepaling
atlas	atlas
atropine	atropine
auspitz-fenomeen	Auspitz-fenomeen
australie-antigeen	Australië-antigeen
bacil-van-kitasato	bacil van Kitasato
bacil-van-koch	bacil van Koch
bacil-van-morax-axenfeld	bacil van Morax-Axenfeld
bacil-van-morgan	bacil van Morgan
bacil-van-novy	bacil van Novy
bacil-van-schaudinn	bacil van Schaudinn
bacil-van-weichselbaum	bacil van Weichselbaum
bacillus-battey	Bacillus-battey
bacillus-hansen	Bacillus hansen
bacillus-pfeiffer	Bacillus pfeiffer
bacillus-schmitz	Bacillus schmitz
baker-kyste	Baker-kyste
bal	BAL
balint-groep	Balint-groep
balkan-nefropathie	Balkan-nefropathie
ballon-van-sengstaken	ballon van Sengstaken
balsamum-locatelli	balsamum Locatelli
bancroft	Bancroft
barany-doofheid	Barany-doofheid
bartonellose	bartonellose
bauhinitis	bauhinitis
baume-schaal	Baumé-schaal
becquerel-bq	becquerel (Bq)
beenlade-van-bonnet	beenlade van Bonnet
beentang-van-liston	beentang van Liston
bekesy-audiometrie	Békésy-audiometrie
bekken-van-van-deventer	bekken van Van Deventer
bel	bel
bellocq-tamponade	Bellocq-tamponade
bence-jones-eiwit	Bence Jones-eiwit
benique	béniqué
berkefeld-filter	Berkefeld-filter
bertillonage	bertillonage
bezold-abces	Bezold-abces
bilharzia-haematobia	Bilharzia haematobia
bilivaccin-calmette-guerin	bilivaccin Calmette-Guérin
billroth-resectie	Billroth-resectie
binet-simon-test	Binet-Simon-test
biot-ademhaling	Biot-ademhaling
bircher-benner-mueesli-bircher-benner-aardappelen	Bircher-Benner-müesli, Bircher-Benner-aardappelen
bjerrum-scotoom	Bjerrum-scotoom
bjoerk-shiley-klep	Björk-Shiley-klep
blankaart-pillen	Blankaart-pillen
bloeddrukmeter-van-riva-rocci	bloeddrukmeter van Riva-Rocci
bloedingstijd-volgens-duke	bloedingstijd volgens Duke
bloedingstijd-volgens-ivy	bloedingstijd volgens Ivy
bloemkorfje-van-bochdalek	bloemkorfje van Bochdalek
bodansky-eenheid	Bodansky-eenheid
bodemtheorie-van-von-pettenkofer	bodemtheorie van von Pettenkofer
boeck-sarcoid	Boeck-sarcoïd
boeddhageboorte	boeddhageboorte
boeroeli-zweer	Boeroeli-zweer
boliviaanse-koorts	Boliviaanse koorts
bordetella	Bordetella
bornholmse-ziekte	Bornholmse ziekte
borrelia-burgdorferi	Borrelia burgdorferi
borreliosis	borreliosis
bouchard-knobbeltjes	Bouchard-knobbeltjes
bovarisme	bovarisme
braidisme	braidisme
braille	braille
braun-anastomose	Braun-anastomose
braun-spalk	Braun-spalk
braxton-hicks-contracties	Braxton Hicks-contracties
breggetje	breggetje
brenner-tumor	Brenner-tumor
breuk-van-littre	breuk van Littré
broca-centrum	Broca-centrum
brodie-abces	Brodie-abces
broussaisme	broussaïsme
brownianisme	brownianisme
brownse-beweging	Brownse beweging
brucellosis	brucellosis
brugia	Brugia
bucky-rooster	Bucky-rooster
buelau-drainage	Bülau-drainage
buizen-van-pflueger	buizen van Pflüger
bundel-van-gratiolet	bundel van Gratiolet
bundel-van-his	bundel van His
bundel-van-kent	bundel van Kent
bundel-van-monakow	bundel van Monakow
bundel-van-tuerck	bundel van Türck
bundel-van-vicq-d-azyr	bundel van Vicq d’Azyr
bundel-van-wenckebach	bundel van Wenckebach
bunsenbrander	bunsenbrander
burkitt-iymfoom	Burkitt-Iymfoom
burnetia	Burnetia
burow-water-liquor-burowi	burow-water (liquor Burowi)
burri-preparaat	Burri-preparaat
bursa-fabricii	bursa Fabricii
cabot-ringen	Cabot-ringen
callanetics	callanetics
canalis-hunteri	canalis Hunteri
canalis-nuckii	canalis Nuckii
canalis-schlemmi	canalis Schlemmi
canalis-vidiani	canalis Vidiani
cannon-reactie-cannonring	Cannon-reactie , Cannonring
capsula-tenoni	capsula Tenoni
caput-medusae	caput Medusae
carrageen	carrageen
carrel-plasma	Carrel-plasma
castelianii-acanthamoeba	castelianii, Acanthamoeba
catheter-van-mercier	catheter van Mercier
cavum-retzii	cavum Retzii
cellen-van-cajal	cellen van Cajal
celsi-area-alopecia-areata	Celsi, area (alopecia areata)
celsius	Celsius
chamberland-filter	Chamberland-filter
chamberlen-forceps	Chamberlen-forceps
charcot-gewricht-solutio-charcot	Charcot-gewricht, solutio Charcot
charriere	Charrière
chauvoei	Chauvoei
cheyne-stokes-ademhaling	Cheyne-Stokes-ademhaling
child-classificatie	Child-classificatie
chimaera	chimaera
chopart-gewricht	Chopart-gewricht
chorea-van-huntington	chorea van Huntington
chorea-van-sydenham	chorea van Sydenham
christmas-factor	Christmas factor
cinchona	Cinchona
circulus-venosis-hovii	circulus venosis Hovii
circulus-willisii	circulus Willisii
cirrose-van-hanot	cirrose van Hanot
cirrose-van-laennec	cirrose van Laënnec
clarke-ulcus	Clarke-ulcus
classificatie-volgens-kraepelin	classificatie volgens Kraepelin
clauberg-voedingsbodem	Clauberg-voedingsbodem
claudicatio	claudicatio
clivus-blumenbachii	clivus Blumenbachii
cloquet-hemia	Cloquet-hemia
clostridium-ghon-sachs	clostridium Ghon-Sachs
coffey-operatie	Coffey-operatie
coiter-spier	Coiter-spier
colchicine	colchicine
colles-fractuur	Colles-fractuur
collin-tang	Collin-tang
collins-vloeistof	Collins-vloeistof
collip-cenheid	Collip-cenheid
colorado-koorts	Colorado-koorts
columnac-morgagni	columnac Morgagni
columnae-bertini	columnae Bertini
coma	coma
comberg-adaptometer	Comberg-adaptometer
compton-effect	Compton-effect
concentratieproef-van-volhard	concentratieproef van Volhard
condoom	condoom
conjunctivitis-van-parinaud	conjunctivitis van Parinaud
conn-tumor	Conn-tumor
connell-naad	Connell-naad
conorii-rickettsia	conorii, Rickettsia
constitutieleer-van-kretschmer	constitutieleer van Kretschmer
contractuur-van-von-volkmann	contractuur van von Volkmann
cooley-anemie	Cooley-anemie
coombs-serum	Coombs-serum
cooper-schaar	Cooper-schaar
cori-ester	Cori-ester
corona-veneris	corona veneris
corpus-luysii	corpus Luysii
corpus-wolffi	corpus Wolffi
corrigan-pols	Corrigan-pols
corvisart-facies	Corvisart-facies
coueisme	couéïsme
coulomb	coulomb
cournand-catheter	Cournand-catheter
cowdria	Cowdria
cowperitis	cowperitis
coxiella	Coxiella
coxsackie-virus	Coxsackie-virus
cramer-spalk	Cramer-spalk
crederen	crederen
crosby-capsule	Crosby-capsule
cullen-ulcus	Cullen-ulcus
curie	curie
curling-ulcus	Curling-ulcus
curve-van-price-jones	curve van Price-Jones
cushing-face	Cushing face
cycloop	cycloop
cyclus-van-ross	cyclus van Ross
dahlak-blindheid	Dahlak-blindheid
dakin-vloeistof	Dakin-vloeistof
daltonisme	daltonisme
dandy-operatie	Dandy-operatie
dane-partikels	Dane-partikels
daniels-biopsie	Daniels-biopsie
darmnaad-van-schmieden	darmnaad van Schmieden
darwinisme	darwinisme
